,,,
Botanical Name,Family,Common Name,Properties / Uses
Moringa oleifera,MORINGACEAE,horseradish tree,"nutritious, diuretic, laxative, expectorant, increases milk flow, antibacterial, potent antibiotic (oil of ben); treats tuberculosis, septicemia, asthma, gout, rheumatism, enlarged spleen and liver, kidney and bladder stones; also for boils, skin diseases"
Murraya koenigii,RUTACEAE,curry leaf,"warming, strongly aromatic herb, improves appetite, digestion;
treats digestive problems, constipation, colic, diarrhea"
Murraya paniculata,RUTACEAE,satinwood,"antidiarrhoeal, antinociceptive,  anti-inflammatory,  anti-fertility, analgesic, increase mentrual flow; treats diarrhea,chronic dysentery, toothache, tapeworms, bruises, stomach ache, swellings, skin ailments, body pain"
Musa acuminata,MUSACEAE,banana,"fruit rich in potassium, powerful diuretic, treats blisters, burns, abscesses, roots staunch excessive bleeding during childbirth"
Myristica fragrans,MYRISTICACEAE,nutmeg,"bitter, astringent, anti-inflammatory,  spicy, warming, digestive tonic, relaxes spasms; treats vomiting, dysentery, diarrhea, indigestion, nausea, headaches, dizziness, delirium; also toothache, insomnia, more"
Myrrhis odorata,APIACEAE,sweet cicely,"sweet, expectorant, aromatic, aids in digestion; treats coughs, minor digestive problems, anemia"
Myrtus communis,MYRTACEAE,myrtle,"aromatic, astringent, antiseptic, decongestant; treats urinary infections, vaginal discharge, bronchial congestion, sinusitis, dry coughs"
Nasturtium officinale,BRASSICACEAE,watercress,"powerful antibiotic, beneficial to health of intestines; encourages immune activity in body; high in Vit. A, B, C, Fe, K, Ca; stimulates digestion, diuretic, anti-inflammatory,  expectorant, antiseptic"
Nelumbo nucifera,NELUMBONACEAE,water lotus,"astrigent, cooling, controls bleeding, lowers blood pressure, fever, tonic for spleen and kidney; treats hemorrhage, nosebleed, excessive menstruation, hypertension, insomnia, urinary problems, more.."
Nepeta cataria,LAMIACEAE,catnip,"bitter, astringent, cooling, sedative, lowers fever, antispasmodic, increases perspiration, treats sleeping problems, feverish illnesses, nervous indigestion, diarrhea, stomach upsets, colic"
Nicotiana benthamiana,SOLANACEAE,tobacco,"experimental host in plant virology due to large number of viruses that infect it; used to produce therapeutic proteins, rapid production of precursors of artemisinin for malaria treatment"
Nigella sativa,RANUNCULACEAE,black cumin,"aromatic, laxative, stimulates uterus, increases lactation, benefits digestion, reduces inflammation; treats painful menstruation, postpartum contractions, bronchial complaints; also abscesses, hemorrhoids"
Norantea guianensis,MARCGRAVIACEAE,norantea,"antiseptic; treats ulcerous sores, fevers, vomitting, diarrhea"
Ocimum basilicum,LAMIACEAE,common basil,"restorative, warming, aromatic, antispasmodic,  lowers fever, improves digestion, kills bacteria and intestinal parasites; treats colds, influenza, poor digestion, nausea, abdominal cramps, gastroenteritis"
Ocimum basilicum 'Thai',LAMIACEAE,Thai basil,"restorative, warming, aromatic, antispasmodic,  lowers fever, improves digestion, kills bacteria and intestinal parasites; treats colds, influenza, poor digestion, nausea, abdominal cramps, gastroenteritis"
Ocimum basilicum var. citriodorum,LAMIACEAE,lemon basil,"restorative, warming, aromatic, antispasmodic,  lowers fever, improves digestion, kills bacteria and intestinal parasites; treats colds, influenza, poor digestion, nausea, abdominal cramps, gastroenteritis"
Oenothera biennis,ONAGRACEAE,evening primrose,"alterative, regulates hormonal systems; treats PMS, irregular periods, menopause"
Olea europaea,OLEACEAE,olive,"antioxidant, anticancer, emollient, high in Vit. E;  lowers cholesterol; treats fevers, skin abrasions, eczema, constipation, gastric disorders; reduces+G376 circulatory and nervous disorders"
Onopordum acanthium,ASTERACEAE,giant thistle,"astringent, cardiotonic -  propietary heart medicines; treats cancers, ulcers, excess mucus"
Origanum majorana,LAMIACEAE,majoram,"aromatic, antiseptic, warming, antispasmodic,  increases perspiration, digestive, stimulates uterus, mild expectorant; treats colds, influenza, feverish illnesses, indigestion, flatulence, bronchitis, asthma"
Origanum vulgare,LAMIACEAE,oregano,"aromatic, antiseptic, warming, antispasmodic,  increases perspiration, digestive, stimulates uterus, mild expectorant; treats colds, influenza, feverish illnesses, indigestion, flatulence, bronchitis, asthma"
Oryza sativa,GRAMINEAE,rice,"high in Vit. B, Fe, K; natural tonic, diuretic, digestive, controls sweating, lowers blood pressure, anti-inflammatory;  excellent for heartburn"
Paeonia officinalis,PAEONIACEAE,common peony,"treats headaches and dizziness due to imbalance of  liver and spleen; nourishes blood and regulates the menses; controls abdominal spasms, cramps in hands and feet"
Panax ginseng,ARALIACEAE,ginseng root,"herbal tonic used to promote longevity, build immunity to infection and disease, prevents cancer - said to be cure- all for nearly all human ailments"
Panax quinquefolius,ARALIACEAE,American ginseng,"used by American Indians to strengthen immune system, treat diabetes and cancer and for energy, strength, stamina and vigor"
Papaver rhoeas,PAPAVERACEAE,corn poppy,"astringent, sedative, relieves pain, relaxes spasms, expectorant, improves digestion; treats coughs, poor digestion, insomnia, digestive disorders, minor painful conditions"
Papaver somniferum,PAPAVERACEAE,opium poppy,"narcotic, sedative, relieves pain, antispasmodic,  controls coughing - contain alkaloids morphine, codeine; treats diarrhea, excess perspiration, for shock, topor, alcohol poisoning, breathing problems"
Passiflora coriacea,PASSIFLORACEAE,bat-leaf passionflower,"diuretic for kidney infection; poultice for wounds, swellings"
Passiflora guadrangularis,PASSIFLORACEAE,giant granadilla,"high in niacin, potent neurotransmitter  - serotonin, stimulates nervous system; treats high cholesterol, depression, obsessive behaviors, insomnia, migraine, obesity; eliminates intestinal worms"
Passiflora incarnata,PASSIFLORACEAE,passionflower,"bitter, sedative, cooling, relieves pain, relaxes spasms, lowers blood pressure; treats nervous tension, insomnia, irritability, tension headache, asthma, hypertension, shingles"
Pastinaca sativa,APIACEAE,parsnip,"contains xanthotoxin; for inflammation, sores, psoriasis, vitiligo;
tea for women's complaints"
Pelargonium odoratissimum,GERANIACEAE,apple geranium,"aromatic, fruity, astringent, tonic, antiseptic, controls bleeding, promotes healing, repels insects; treats debility, gastroenteritis, hemorrhage; also for skin complaints, injuries, neuralgia, throat infections, burns, sores, shingles"
Pelargonium quercifolium,GERANIACEAE,oak-leaved geranium,"aromatic, stimulant, resinous scent; treats rheumatism, hypertension, heart disease"
Perilla frutescens,LAMIACEAE,shiso,"pungent, aromatic, warming, relaxes spasms, increases perspiration, controls bacterial infections, laxative, expectorant, controls coughing; treats respiratory and digestive complaints"
Persea americana,LAURACEAE,avocado,"relieves colds, high blood pressure, coughs, fever, diarrhea, painful menses- treats headaches, rheumatism, sprains- ground seed as tea for intestinal problems"
Petroselinum crispum,APIACEAE,parsley,"aromatic, diuretic, antispasmodic,  reduces inflammation, clears toxins, stimulates digestion, promotes lactation, contracting of uterus; treats menstrual problems, urinary and digestive complaints, arthritis, rheumatism,  kidney stones"
Phaseolus vulgaris,FABACEAE,green bean,"sweet, nutritive, high in vitamins, carminative, diuretic, depurative; treats cardiac,  bladder and kidney problems, diarrhea, dropsy, dysentery, rheumatism, sciatica, hiccups, itch, acne, eczema, burns"
Phellodendron amurense,RUTACEAE,amur cork tree,"bitter, diuretic, cooling, stimulates liver and gall bladder, lowers fever, reduces blood presssure and blood sugar levels, antibacterial; treats diarrhea, dysentery, jaundice, urinary and skin diseases"
Phlebodium aureum,POLYPODIACEAE,gold foot fern,"treats stomach ailments, asthma, bronchial catarrh, hoarseness, respiratory problems; also hemorrhaging"
Phlebodium decumanum,POLYPODIACEAE,bear paw fern,"contains carotenoids, flavonoids; treats stomach ulcers, pain, gastritis, chronic indigestion; also to treat stages of cancer, high blood pressure"
Phyllitis scolopendrium,ASPLENIACEAE,Hart's tongue fern,"diuretic, expectorant, astringent - tannins and mucilage present;
treats bronchial catarrh"
Phyllostachys nigrum,GRAMINEAE,black bamboo,"treats lung infections coupled with coughing and phlegm, vomiting, nosebleeds, rabies, fevers in infants"
Physalis alkekengi,SOLANACEAE,Chinese lantern,"diuretic, aperient, lowers fever, reduces inflammation; treats intermittent fevers, urinary disorders, arthritis, rheumatism, gout; also skin inflammations"
Pilocarpus pennatifolius,RUTACEAE,jaborandi,"reduces eye pressure (pilocarpine) - treats glaucoma;  also for influenza, pneumonia, bronchitis, diptheria, laryngitis, epilepsy, convulsions, intestinal, stomach, and kidney problems, skin and hair conditions"
Pimenta dioica,MYRTACEAE,allspice,"pungent, warming, digestive, nerve tonic; treats  rheumatic aches and pains, digestive problems, gas, infant colic, diarrhea, flatulence, indigestion, nervous exhaustion"
Pimenta racemosa,MYRTACEAE,bay rum,"antiseptic, antibiotic, analgesic, anti-neuralgic, anti-spasmodic, astringent, sedative, stomachic; treats rheumatism, neuralgia, muscular pain, circulation problems, colds, flu, dental infection, diarrhea, skin infections"
Pimpinella anisum,APIACEAE,aniseed,"sweet, warming, stimulant, expectorant, estrogenic, improves digestion, benefits liver, circulation; treats dry coughs, whooping cough, bronchitis, bronchial asthma, indigestion, flatulence"
Pinellia ternata,ARACEAE,pinellia rhizome,"pungent, bitter, warming, expectorant, antimucus, antiemetic; treats cough and sputum, gastritis, nausea, vomiting; also spleen complaints"
Pinus mugo,PINACEAE,mugo pine,"aromatic, stimulant, antiseptic, expectorant, relieves bronchial and nasal congestion, improves blood flow; treats upper respiratory tract infections, chronic bronchitis; also rheumatism, muscle stiffness"
Piper auritum,PIPERACEAE,makulan,"aromatic, stimulant; poultice used on swellings; also treats stiffness and joint pains of whole body"
Piper betle,PIPERACEAE,betel pepper,"aromatic, antibacterial, stimulant, increases salivation; treats diptheria, breast absc+G381esses,  excess mucus; also to protect against internal parasites"
Piper longum,PIPERACEAE,long pepper,"aromatic, hot, stimulant, improves digestion, decongestant, antibiotic, analgesic; treats stomach chills, vomiting, acid regurgitation, headache, rhinitis, epilepsy, digestive and respiratory complaints"
Piper methysticum,PIPERACEAE,kava kava,"antiseptic, diuretic, expectorant, genitourinary stimulant, calms nerves, increases metal awareness; treats gall bladder infections, arthritis, rheumatism,G383  gonorrhea"
Piper nigrum,PIPERACEAE,black pepper,"expectorant, anesthetic, analgesic; treats indigestion and flatulence; eases muscular aches and pains; treats colds and flu; mixed with ghee to treat nasal congestion, sinusitis, skin inflammation"
Pisum sativum,FABACEAE,garden pea,"edible, contraceptive, fungistatic, spermaticidal; treats skin complaints, prevents pregnancy, lowers sperm count"
Plantago asiatica 'Variegatum',PLANTAGINACEAE,variegated plantain,"cooling, diuretic, expectorant, reduces inflammation, stops bleeding, controls coughing; treats acute infections of lungs, urinary tract, hepatitis, boils, diarrhea, conjunctivitis, vertigo"
Plantago lanceolata,PLANTAGINACEAE,plantain,"cooling, duiretic, expectorant, promotes healing; treats stings and burns, insect bites, for diarrhea, cystitis, hemorrhoids, hay fever, dry coughs"
Platycodon grandiflorum,CAMPANULACEAE,balloon flower,"bitter, pungent, warming, dilates bronchial vessels, expectorant, kills disease causing organisms; treats coughs with phlegm, colds, bronchitis, pleurisy, pulmonary abscess, throat infections"
Plectranthus amboinicus,LAMIACEAE,Spanish thyme,"reduces inflammation; treats bronchitis, asthma, postpartum pain, headache, sores, burns, scorpion stings"
Plectranthus barbatus,LAMIACEAE,forskohlii,"aromatic herb that affects heart contractions, blood clotting; under investigation for treating congestive heart disease, glaucoma, chronic bronchial disease"
Plumbago auriculata,PLUMBAGINACEAE,cape leadwort,"treats warts, broken bones, heals wounds, relieves headaches, piles, epilepsy, jaundice; also for lead poisoning"
Plumbago europaea,PLUMBAGINACEAE,leadwort,"contains flavenol, eurpectin, acrid, emetic, odontalgic, siolagogue, vesicant; treats toothache, used in veterinary medicine"
Plumeria rubra,APOCYNACEAE,frangipani,"treats rheumatism, bruises; also purgative"
Polemonium caeruleum,POLEMONIACEAE,jacob's ladder,"odorless, slightly bitter, astringent, increases perspiration; treats headaches, fevers, epilepsy, other internal conditions"
Polygonatum odoratum 'Variegatum',LILIACEAE,variegated solomon seal,"bittersweet, astringent, expectorant, soothing, reduces inflammation, clears toxins; treats heart disease, tuberculosis, dry cough, dry throat in diabetes, gastric irritation; also bruises, hemorrhoids, infertility, chronic wasting disease"
Polygonum bistorta,POLYGONACEAE,snakeweed,"astringent, soothing, cooling, anti-inflammatory,  controls diarrhea, bleeding, promotes healing; treats cholera, dysentery, excess mucus, cystitis, mucous colitis, menstrual problems; also pharyngitis, hemorrhoids, gum disease"
Polygonum multiflorum,POLYGONACEAE,fleeceflower vine,"bittersweet, astringent, slightly warming, tonic for liver, reproductive, urinary, circulatory systems, lowers blood sugar, cholesterol, clears toxins, anti-bacterial; treats menstrual, menopausal complaints, kidney, urinary problems, insomnia, wounds+G397"
Polystichum tsussimense,DRYOPTERIDACEAE,rock fern,"bitter, cold, cool, stimulates heart and spleen; cleanses toxins, cools blood to dissipate blood statis; treats dysentery, swollen red eyes, mastitis, bleeding hemorrhoids, burns, scalds"
Populus alba,SALICACEAE,white poplar,"astringent, tonic, diuretic, cooling, anti-inflammatory,  relieves pain, alterative, contains salicin; treats gout, rheumatoid arthritis, fevers, lower back pain, digestive and liver complaints, annorexia, hemorrhoids, chilbains, infected wounds, sprains, debility"
Potentilla reptans,ROSACEAE,cinquefoil,"astringent, bitter, cooling, reduces inflammation, promotes healing; treats diarrhea, sore throat, cuts, burns, shingles"
Primula veris,PRIMULACEAE,cowslip,"sedative, expectorant, relaxes spasms, reduces inflammation; treats bronchitis, dry cough, whooping cough, arthritis, insomnia, headache, restlessness (children); also neuralgia, skin blemishes, sunburn, migraine"
Primula vulgaris,PRIMULACEAE,primrose,"expectorant, anti-flammatory,  pain reliever, antispasmodic, promotes healing; treats respiratory ailments, insomnia, rheumatic disorders; also for minor wounds, nerve and joint pain"
Prunella vulgaris,LAMIACEAE,heal all,"astringent, slightly bitter, saline, lowers fever, blood pressure, stimulates liver, gall bladder, promotes healing, diuretic, antibacterial, alterative; treats hemorrhage, excessive menstruation, headaches, high blood pressure, mumps, minor injuries"
Prunus avium,ROSACEAE,bird cherry,"diuretic, astringent, tonic; treats cystitis, edema, diarrhea"
Prunus persica,ROSACEAE,peach,"treat abdominal masses and tumors; enlarged liver and spleen; blood disorders, abnominal pain or pain from injuries; constipation"
Psidium guajava,MYRTACEAE,guava,"treats mouth sores, bleeding gums, eye strain, conjunctivitis, diarrhea, vomiting, upset stomach, dysentery, sore throat, wounds and ulcers of skin; also as douche for leukorrhea"
Psychotria ipecacuanha,RUBIACEAE,wild coffee,induces vomiting (ipecac)
Pteris cretica,PTERIDACEAE,brake fern,"antipyretic, antidotal; for healing wounds, burns"
Pteris multifida,PTERIDACEAE,spider brake fern,"antitumor, lowers cholesterol, increases excretion of lipids and metabolic by-products via intestinal tract"
Pteris vittata,PTERIDACEAE,Chinese brake,"antipyretic, antidotal; treats cold, coughs, fevers; also for healing wounds"
Pterocarpus officinalis,FABACEAE,bloodwood,"treats dysentery, diarrhea, mouth sores, thrush"
Punica granatum,PUNICACEAE,pomegranate,"bittersweet, astringent, warming, anti-parasitic, antiviral, controls diarrhea; treats chronic diarrhea, amoebic dysentery, intestinal worms; also for vaginal discharge, mouth sores, throat infections"
Quercus ilex,FAGACEAE,holm oak,"galls strongly astringent; used in treatment of haemorrhages, chronic diarrhea, dysentery"
Quercus robur,FAGACEAE,English oak,"bitter, astringent, antiseptic, reduces inflammation, controls bleeding; treats internal hemorrhage, diarrhea, dysentery; also for wounds, hemorrhoids, sore throat, bleeding gums, eczema, ringworm, ulcers, varicose veins"
Ranunculus ficaria,RANUNCULACEAE,lesser celandine,"astringent, slightly bitter, anti-G415hemorrhoidal; treats hemorrhoids; also for perineal damage after childbirth"
Rauvolfia serpentina,APOCYNACEAE,snake root,"rich in alkaloids notably reserpine, tranquilizing, sedative, lowers blood pressure, slows heartbeat; treats high blood pressure, rapid heartbeat, nervous and mental disorders, depression; also for nasal congestion, dry mouth"
Rauvolfia vomitoria,APOCYNACEAE,African serpentwood,"rich in alkaloids notably ajmaline, sedative, tranquilizing, lowers blood pressure; treats mental disorders"
Rehmannia glutinosa,GESNERIACEAE,Chinese foxglove,"blood tonic to treat pale complexion, dizziness, palpitations, insomnia, menstrual problems such as irregular bleeding and amenorrhea; also for kidney problems"
Rheum palmatum,POLYGONACEAE,rhubarb root,"purgative; treats jaundice, dysentery, cystitis, constipation, abdominal pain,  blood complaints like endometriosis, amenorrhea and appendicitis; also for skin conditions  - sores, boils,G452 burns"
Rhizophora mangle,RHIZOPHORACEAE,red mangrove,"high in tannins, diuretic; treats syphilis, leprosy, skin lesions, diarrhea, dysentery"
Ribes nigrum,GROSSULARIACEAE,blackcurrant,"sweet-sour, astringent, tonic, reduces inflammation, strengthens capillaries, anti-bacterial; treats colds, weak capillaries, mouth and throat infections, sore throat"
Ricinus communis,EUPHORBIACEAE,castor bean,"purgative, emollient, unpleasant taste; treats constipation, acute diarrhea due to food poisoning, irritating eye and skin conditions, severe colic, for nervous disorders; also for purgation"
Rosa canina,ROSACEAE,dog rose,"acidic, astringent, tonic, rich in vitamins; treats colds, influenza, minor infectious diseases, scurvy, diarrhea, gastritis; also for nervous disorders"
Rosa rugosa,ROSACEAE,Japanese rose,"high in Vit. C and flavonoids; aromatic, tonic, stimulates liver, improves circulation, antidote in antimony poisoning; treats menstrual complaints due to poor  liver energy, also for poor appetite and digestion"
Rosemarinus officinalis,LAMIACEAE,rosemary,"depression, apathy, nervous exhaustion, headaches, migraines, poor circulation, digestive problems related to anxiety, rheumatism, arthritis, neuralgia, muscular injuries, wounds, dandruff, scurf"
Rubus idaeus,ROSACEAE,raspberry,"astringent, tones and strengthens the womb during pregnancy; treats diarrhea, to prepare for labor; also for tonsillitis, mouth inflammation, sores, conjunctivitis, minor wounds, burns, varicose ulcers"
Rumex crispus,POLYGONACEAE,curled dock,"bitter, astringent, cooling, stimulates liver, gall bladder, removes toxins, laxative; treats constipation, liver disorders, anemia; laryngitis, dry cough, sore throat, also high in vitamins and minerals"
Ruscus aculeatus,LILIACEAE,butcher's broom,"aromatic, diuretic, mild laxative, anti-inflammatory,  constricts veins, increases perspiration; treats jaundice, gout, kidney and bladder stones; also venous insufficiency and hemorrhoids"
Ruta graveolens,RUTACEAE,rue,"treats bruises, deep aching pain, rheumatism, sciatica; also eye strain with headaches; infection after tooth extraction"
Sabal palmetto,ARECACEAE,cabbage palm,"treats fever, headache, weight loss"
Salix alba,SALICACEAE,white willow,"anti-inflammatory,  mild painkiller, anaphrodisiac, tonic; treats arthritis esp. with inflamed joints, gout; chronic diarrhea, with rosemary for headaches, with cramp bark for back pain, lumbago"
Salvia aethiopis,LAMIACEAE,African sage,"pungent, antimicrobial, anti-inflammatory,  strengthens lungs, prevents coughs; treats bacterial infections, respiratory ailments"
Salvia officinalis,LAMIACEAE,common sage,"astringent, stimulant, antiseptic, carminative, antispasmodic, woman's tonic; treats depression, nervous exhaustion, post-viral fatigue, indigestion, loss of appetite, menopausal debility etc."
Salvia officinalis 'Purpurascens',LAMIACEAE,purple sage,"astringent, stimulant, antiseptic, carminative, antispasmodic;
treats sore throat, coughs, colds, menopause"
Salvia sclarea,LAMIACEAE,clary sage,"warming, bitter, astringent, mucilagenous with vanilla-balsam aroma, antispasmodic,  digestive, stimulates uterus, calms nerves, controls vomiting; treats poor appetite, menstrual complaints, minor injuires, ulcers, to remove foreign bodies from eye and skin"
Sambucus mexicana,CAPRIFOLIACEAE,Mexican elder,"diuretic, anti-inflammatory,  diaphoretic, restorative; treats sinusitis, coughs, colds, respiratory infections, fevers"
Sambucus nigra,CAPRIFOLIACEAE,black elder,"diuretic, anti-inflammatory,  diaphoretic, restorative; treats sinusitis, colds, running nose, hay fever, flu; induces sweating, lowers temperature, protects kidneys;  also for chapped, discolored skin, sunburn"
Sanguisorba officinalis,ROSACEAE,great burnet,"bitter, astringent, cooling, controls bleeding, reduces inflammation, promotes healing, anti-bacterial, anti-fungal; treats diarrhea, dysentery, ulcerative colitis, hemorrhoids, hemorrhage; also for burns, scalds, sores, skin diseases"
Sansevieria trifasciata,AGAVACEAE,snake plant,"contains saponins, glycosides; treats skin sores, rashes, diabetes; also for snakebite"
Saponaria officinalis,CARYOPHYLLACEAE,bouncing bet,"diuretic, laxative, expectorant, removes toxins, stimulates liver; treats gout, skin diseases, bronchial congestion, jaundice; also was used for venereal diseases"
Schisandra chinensis,SCHISANDRACEAE,schisandra fruit,"sweet, sour, astringent, warming, regulates body  fluid secretions, controls coughing, moistens irritated tissues, tonic for kidney, heart, nervous system; treats coughs, asthma, dry sweats, insomnia, poor memory, hepatitis, diabetes, palpitations"
Scutellaria lateriflora,LAMIACEAE,Virginian skullcap,"strengthens and calms nervous systems; antispasmodic;  treats anxiety, tension headaches, PMS, examination nerves and depression"
Secale cereale,GRAMINEAE,rye,"antivenous, bilious, demulcent, diuretic, emollient, excipient, intoxicant, laxative, restorative, sedative; treats cancer, corns, tumors, warts, whitlow, burns, diarrhea; also edible -WARNING ergot infested rye causes ergotism - serious medical condition"
Selenicereus grandiflorus,CACTACEAE,Queen of the night,"treats heart diseases of nervous or drug origin, nervous trachycardia, palpitations, feeble and irregular pulse, shortness of breath, mild exertion"
Sempervivum tectorum,CRASSULACEAE,hen-and-chicks,"astringent, acidic, saline, diuretic, cooling, soothing, healing; treats shingles, skin complaints, hemorrhoids; also stings, bites, warts, burns, sunburn, itching"
Senna alata,CAESALPINIACEAE,senna,"sweet, cooling, laxative, tealike aroma, antibacterial; treats constipation; also ringworm"
Senna marilandica,CAESALPINACEAE,wild senna,"sweet, cooling, laxative, tealike aroma, antibacterial; treats constipation"
Serenoa repens,ARECACEAE,saw palmetto,"strengthening tonic, urinary antiseptic, alterative, stimulates sexual hormones; treats prostate enlargement and cystitis; restores weight after severe illness"
Sesamum indicum,PEDALIACEAE,sesame,"sweet, warming, soothing, strengthens bones, teeth, lubricates tissues, antispasmodic,  liver and kidney tonic, mild laxative; treats constipation, tooth decay, dysentery, osteoporosis, premature hair loss, infant ailments, hemorrhoids, burns, boils, ulcers more..."
Silybum marianum,ASTERACEAE,milk thistle,"strengthens and clears liver and gall bladder; for liver complaints, poor fat tolerance, pale stools, to protect liver when using strong drugs and medicines; also for depression folowing hepatitis, gallstones, candida and food allergies, high blood pressure, hangover"
Simmondsia chinensis,SIMMONDSIACEAE,jojoba,"soothing, softening; treats dry skin and hair conditions, psoriasis, acne, sunburn"
Solanum dulcamara,SOLANACEAE,deadly nightshade,"astrigent, cooling, bitter then sweet taste, lowers fever, diuretic, expectorant, sedative, alterative, antirheumatic; treats skin diseases, bronchial congestion, rheumatism, jaundice, ulcerative colitis; also for skin eruptions, ulcers"
Solanum tuberosum,SOLANACEAE,potato,alkaline helping to detoxify body; antiulcer; relieves inflammation and pain; skin contains chlorogenic acid to help prevent cell mutation; encourages healthy blood circulation
Solidago virgaurea,ASTERACEAE,goldenrod,"urinary problems, excess mucus, skin disorders, coughs, sore throat"
Sonchus oleraceus,ASTERACEAE,milk thistle,"anti-inflammatory,  pain reliever; treats headaches, hepatitis, infections, rheumatism, reduces inflammation"
Spathiphyllum cannifolium,ARACEAE,,treats headaches
Sphagnum cymbiifolium,SPHAGNACEAE,sphagnum moss,"astringent, antiseptic, absorbent; for wounds and to absorb discharges"
Stachys officinalis,LAMIACEAE,wood betony,"bitter, astringent, sedative, improves digestion and cerebral circulation; treats headaches associated with nervous tension, depression, anxiety, neuralgia, sinusitis, excess mucus, gastritis, poor digestion; also for menstrual complaints"
Stellaria media,CARYOPHYLLACEAE,chickweed,"soothing, cooling, promotes healing, alterative, antirheumatic; treats rheumatism, itching skin complaints, eczema, psoriasis, vaginitis, ulcers, boils, abscesses"
Strophanthus gratus,APOCYNACEAE,climbing oleander,"WARNING - extremely poisonous, diuretic, tonic, stimulates heart; treats heart failure, angina, hypertension, pulmonary edema, hypotension during anesthesia and surgery"
Symphytum officinale,BORAGINACEAE,comfrey,"healing and mucilanginous;  treats diaper rash; promotes healing of wounds, cuts, bruises, sprains, broken bones; also for cracked dry skin"
Syzygium aromaticum,MYRTACEAE,clove,"spicy, warming, stimulant, pain reliever, controls nausea, vomiting, improves digestion, antiparasitic, strongly antiseptic; treats gastroenteritis, intestinal parasites, toothache, insect bites; also stomach chills, impotence - oil used in toothpaste"
Syzygium malaccense,MYRTACEAE,Malay apple,"antibiotic, astringent, diuretic, emmenagogue,  abortifacient, febrifuge; treats wounds, thrush, itching, dysentery, edema, constipation, diabetes, coughs, pulmonary catarrh, head, blood pressure conditions+G463"
Tagetes erecta,ASTERACEAE,American marigold,"antibacterial, high in antioxidants (lutein); for use as skin wash to kill bacteria; also nematicidal"
Tamarindus indica,FABACEAE,tamarind,"sweet, sour, astringent, warming, stimulant, lowers fever, improves digestion, antiseptic, laxative; treats fevers, jaundice, asthma, dysentery, nausea in pregnancy; also for sore eyes, ulcers, rheumatism"
Tanacetum parthenium,ASTERACEAE,feverfew,"bitter, tonic, cooling, pungent odor, nauseating taste; treats arthritis, painful joints, rheumatism, feverish illnesses, migraine headaches, digestive and menstrual complaints"
Tanacetum vulgare,ASTERACEAE,tansy,"WARNING - toxic - bitter, acrid, warming, pungent odor, antiparasitic, benefits digestion, stimulates uterus; mainly used to expel worms in children"
Taraxacum officinale,ASTERACEAE,dandelion,"diuretic, nourishing, liver tonic, digestive, alterative; relieves water retention and edema esp. swollen ankles due to poor circulation; stimulates digestion; treats liver and bladder problems"
Taxus baccata,TAXACEAE,yew,contains taxol in small quantities - used in research
Taxus brevifolia,TAXACEAE,pacific yew,"WARNING -toxic with anticancer effect, contains taxol ; treats cancers of lungs, ovaries, breasts"
Teucrium chamaedrys,LAMIACEAE,germander,"bitter, astringent, antirheumatic, anti-inflammatory,  lowers fever, stimulates digestion, antiseptic, diuretic, decongestant; treats poor appetite, gall bladder and digestive complaints, gout,
rheumatoid arthritis, bronchitis, excess mucus; also gum disease, more.."
Theobroma cacao,STERCULIACEAE,"cacao, chocolate","bitter, stimulant, diuretic, lowers blood pressure and dilates coronary arteries; treats angina, high blood pressure; also cocoa butter for chapped skin and burns"
Thymus serphyllum,LAMIACEAE,wild thyme,"aromatic, sedative, expectorant, antispasmodic,  improves digestion, antiseptic, improves healing; treats respiratory
ailments, indigestion, painful menstruation, colic, hangovers; also rheumatism, sciatica, alcoholism"
Thymus vulgaris,LAMIACEAE,common thyme,"antiseptic, antibacterial, antifungal, expectorant, digestive, tonic; treats coughs, excess mucus, asthma, whooping cough, indigestion, intestinal infections; also for athlete's foot and to treat intestinal worms in children"
Thymus x citriodorus,LAMIACEAE,lemon thyme,"aromatic, decongestant, relaxant, strong lemon scent; treats sore throat, coughs, colds, athlete's foot"
Thymus x citriodorus 'Silver Queen',LAMIACEAE,silver queen lemon thyme,"aromatic, decongestant, relaxant; treats sore throat, coughs, colds, athlete's foot"
Tilia europaea,TILIACEAE,European linden,"calming, soothing, strengthens nerves, diaphoretic, antispasmodic;  treats insomnia, anxiety, irritability, long term use strengthens nervous system and improves stress tolerance; improves digestion, treats nervous indigestion, lowers fevers+G477"
Trifolium pratense,FABACEAE,red clover,"sweet, cooling, alterative, antispasmodic,  diuretic, expectorant; treats skin complaints esp. eczema, psoriasis; also cancers of breasts, ovaries, lymphatic system, chronic degenerative diseases, whooping cough, menopause"
Trigonella foenum-graecum,FABACEAE,fenugreek,"bitter, pungent, warming, increases milk flow, stimulates uterus, soothing, lowers fever, reduces blood sugar, improves digestion, promotes healing, laxative, expectorant, diuretic, antiparasitic, antitumor; mainly for cancer therapy, more …"
Triticum aestivum,GRAMINEAE,wheat,"antivenous, bilious, demulcent, diuretic, emollient, excipient, intoxicant, laxative, restorative, sedative; treats cancer, corns, tumors, warts whitlow, burns, diarrhea; also edible -WARNING ergot infested rye causes ergotism if eaten- serious medical condition"
Tropaeolum majus,TROPAEOLACEAE,nasturtium,"winter chills, genitourinary and respiratory infections, scurvy, skin and hair problems"
